facility_id,facility_name,address,city,state,zip_code,county_name,phone_number,payment_measure_id,payment_measure_name,payment_category,denominator,payment,lower_estimate,higher_estimate,payment_footnote,value_of_care_display_id,value_of_care_display_name,value_of_care_category,value_of_care_footnote,start_date,end_date
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,53,"$25,911","$22,707","$29,475",,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,,07/01/2017,12/01/2019
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,110,"$18,743","$16,915","$20,741",,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,,07/01/2017,12/01/2019
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,108,"$19,426","$17,450","$21,387",,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,,07/01/2017,12/01/2019
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Not Available,1,04/01/2017,10/02/2019
330106,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,11030,NASSAU,(516) 562-0100,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,404,"$26,967","$25,182","$28,725",,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,,07/01/2017,12/01/2019
330106,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,11030,NASSAU,(516) 562-0100,PAYM_30_HF,Payment for heart failure patients,Greater Than the National Average Payment,1365,"$20,126","$19,427","$20,844",,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Better Mortality and Higher Payment,,07/01/2017,12/01/2019
330106,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,11030,NASSAU,(516) 562-0100,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,1422,"$20,029","$19,365","$20,724",,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Better Mortality and Higher Payment,,07/01/2017,12/01/2019
330106,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,11030,NASSAU,(516) 562-0100,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Greater Than the National Average Payment,1330,"$21,353","$20,902","$21,827",,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Higher Payment,,04/01/2017,10/02/2019
330181,NORTHWELL HOSPITAL GLEN COVE,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,(516) 674-7300,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,76,"$28,459","$25,287","$31,859",,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,,07/01/2017,12/01/2019
330181,NORTHWELL HOSPITAL GLEN COVE,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,(516) 674-7300,PAYM_30_HF,Payment for heart failure patients,Greater Than the National Average Payment,186,"$20,061","$18,427","$21,783",,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Higher Payment,,07/01/2017,12/01/2019
330181,NORTHWELL HOSPITAL GLEN COVE,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,(516) 674-7300,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,199,"$19,204","$17,682","$20,809",,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,,07/01/2017,12/01/2019
330181,NORTHWELL HOSPITAL GLEN COVE,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,(516) 674-7300,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Not Available,Not Available,Not Available,Not Available,Not Available,5,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Not Available,5,04/01/2017,10/02/2019
330182,ST FRANCIS HOSPITAL - THE HEART CENTER,100 PORT WASHINGTON BOULEVARD,ROSLYN,NY,11576,NASSAU,(516) 562-6000,PAYM_30_AMI,Payment for heart attack patients,Greater Than the National Average Payment,422,"$31,391","$29,259","$33,765",,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Higher Payment,,07/01/2017,12/01/2019
330182,ST FRANCIS HOSPITAL - THE HEART CENTER,100 PORT WASHINGTON BOULEVARD,ROSLYN,NY,11576,NASSAU,(516) 562-6000,PAYM_30_HF,Payment for heart failure patients,Greater Than the National Average Payment,1425,"$20,218","$19,495","$20,949",,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Better Mortality and Higher Payment,,07/01/2017,12/01/2019
330182,ST FRANCIS HOSPITAL - THE HEART CENTER,100 PORT WASHINGTON BOULEVARD,ROSLYN,NY,11576,NASSAU,(516) 562-6000,PAYM_30_PN,Payment for pneumonia patients,Less Than the National Average Payment,857,"$17,354","$16,659","$18,025",,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Better Mortality and Lower Payment,,07/01/2017,12/01/2019
330182,ST FRANCIS HOSPITAL - THE HEART CENTER,100 PORT WASHINGTON BOULEVARD,ROSLYN,NY,11576,NASSAU,(516) 562-6000,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Greater Than the National Average Payment,1102,"$21,548","$21,052","$22,079",,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Higher Payment,,04/01/2017,10/02/2019
330195,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,NASSAU,(718) 470-7000,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,274,"$25,764","$23,796","$27,823",,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,,07/01/2017,12/01/2019
330195,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,NASSAU,(718) 470-7000,PAYM_30_HF,Payment for heart failure patients,Greater Than the National Average Payment,1112,"$18,808","$18,093","$19,555",,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Better Mortality and Higher Payment,,07/01/2017,12/01/2019
330195,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,NASSAU,(718) 470-7000,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,1383,"$19,979","$19,361","$20,612",,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Higher Payment,,07/01/2017,12/01/2019
330195,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,NASSAU,(718) 470-7000,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,823,"$21,331","$20,756","$21,882",,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,,04/01/2017,10/02/2019
330198,MOUNT SINAI SOUTH NASSAU,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NASSAU,(516) 632-3000,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,280,"$27,955","$25,873","$30,173",,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,,07/01/2017,12/01/2019
330198,MOUNT SINAI SOUTH NASSAU,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NASSAU,(516) 632-3000,PAYM_30_HF,Payment for heart failure patients,Greater Than the National Average Payment,695,"$19,724","$18,814","$20,700",,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Higher Payment,,07/01/2017,12/01/2019
330198,MOUNT SINAI SOUTH NASSAU,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NASSAU,(516) 632-3000,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,1298,"$20,760","$20,054","$21,456",,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Higher Payment,,07/01/2017,12/01/2019
330198,MOUNT SINAI SOUTH NASSAU,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NASSAU,(516) 632-3000,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,221,"$20,856","$19,850","$21,899",,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,,04/01/2017,10/02/2019
330259,MERCY MEDICAL CENTER,1000 NORTH VILLAGE AVENUE,ROCKVILLE CENTRE,NY,11570,NASSAU,(516) 705-2525,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,74,"$26,573","$23,440","$29,971",,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,,07/01/2017,12/01/2019
330259,MERCY MEDICAL CENTER,1000 NORTH VILLAGE AVENUE,ROCKVILLE CENTRE,NY,11570,NASSAU,(516) 705-2525,PAYM_30_HF,Payment for heart failure patients,Greater Than the National Average Payment,257,"$20,374","$18,888","$21,881",,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Higher Payment,,07/01/2017,12/01/2019
330259,MERCY MEDICAL CENTER,1000 NORTH VILLAGE AVENUE,ROCKVILLE CENTRE,NY,11570,NASSAU,(516) 705-2525,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,361,"$20,875","$19,642","$22,161",,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Worse Mortality and Higher Payment,,07/01/2017,12/01/2019
330259,MERCY MEDICAL CENTER,1000 NORTH VILLAGE AVENUE,ROCKVILLE CENTRE,NY,11570,NASSAU,(516) 705-2525,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Greater Than the National Average Payment,72,"$24,576","$22,463","$26,872",,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Higher Payment,,04/01/2017,10/02/2019
330331,PLAINVIEW HOSPITAL,888 OLD COUNTRY ROAD,PLAINVIEW,NY,11803,NASSAU,(516) 719-3000,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,64,"$25,725","$22,798","$29,168",,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,,07/01/2017,12/01/2019
330331,PLAINVIEW HOSPITAL,888 OLD COUNTRY ROAD,PLAINVIEW,NY,11803,NASSAU,(516) 719-3000,PAYM_30_HF,Payment for heart failure patients,Greater Than the National Average Payment,411,"$20,007","$18,808","$21,268",,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Higher Payment,,07/01/2017,12/01/2019
330331,PLAINVIEW HOSPITAL,888 OLD COUNTRY ROAD,PLAINVIEW,NY,11803,NASSAU,(516) 719-3000,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,529,"$19,958","$18,907","$20,990",,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Higher Payment,,07/01/2017,12/01/2019
330331,PLAINVIEW HOSPITAL,888 OLD COUNTRY ROAD,PLAINVIEW,NY,11803,NASSAU,(516) 719-3000,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Greater Than the National Average Payment,216,"$23,360","$22,169","$24,685",,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Higher Payment,,04/01/2017,10/02/2019
330332,CHSLI ST JOSEPH HOSPITAL,4295 HEMPSTEAD TURNPIKE,BETHPAGE,NY,11714,NASSAU,(516) 579-6000,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,65,"$27,857","$24,710","$31,563",,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,,07/01/2017,12/01/2019
330332,CHSLI ST JOSEPH HOSPITAL,4295 HEMPSTEAD TURNPIKE,BETHPAGE,NY,11714,NASSAU,(516) 579-6000,PAYM_30_HF,Payment for heart failure patients,Greater Than the National Average Payment,394,"$20,458","$19,265","$21,739",,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Higher Payment,,07/01/2017,12/01/2019
330332,CHSLI ST JOSEPH HOSPITAL,4295 HEMPSTEAD TURNPIKE,BETHPAGE,NY,11714,NASSAU,(516) 579-6000,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,419,"$20,481","$19,268","$21,649",,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Higher Payment,,07/01/2017,12/01/2019
330332,CHSLI ST JOSEPH HOSPITAL,4295 HEMPSTEAD TURNPIKE,BETHPAGE,NY,11714,NASSAU,(516) 579-6000,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Not Available,1,04/01/2017,10/02/2019
330043,NS/LIJ HS SOUTHSIDE HOSPITAL,301 EAST MAIN STREET,BAY SHORE,NY,11706,SUFFOLK,(631) 968-3000,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,157,"$26,576","$24,177","$29,364",,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,,07/01/2017,12/01/2019
330043,NS/LIJ HS SOUTHSIDE HOSPITAL,301 EAST MAIN STREET,BAY SHORE,NY,11706,SUFFOLK,(631) 968-3000,PAYM_30_HF,Payment for heart failure patients,Greater Than the National Average Payment,626,"$19,839","$18,867","$20,862",,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Higher Payment,,07/01/2017,12/01/2019
330043,NS/LIJ HS SOUTHSIDE HOSPITAL,301 EAST MAIN STREET,BAY SHORE,NY,11706,SUFFOLK,(631) 968-3000,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,608,"$19,645","$18,679","$20,596",,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,,07/01/2017,12/01/2019
330043,NS/LIJ HS SOUTHSIDE HOSPITAL,301 EAST MAIN STREET,BAY SHORE,NY,11706,SUFFOLK,(631) 968-3000,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,574,"$21,049","$20,390","$21,734",,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,,04/01/2017,10/02/2019
330045,NS/LIJ HS HUNTINGTON HOSPITAL,270 PARK AVENUE,HUNTINGTON,NY,11743,SUFFOLK,(631) 351-2000,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,266,"$27,210","$24,968","$29,529",,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,,07/01/2017,12/01/2019
330045,NS/LIJ HS HUNTINGTON HOSPITAL,270 PARK AVENUE,HUNTINGTON,NY,11743,SUFFOLK,(631) 351-2000,PAYM_30_HF,Payment for heart failure patients,Greater Than the National Average Payment,822,"$19,551","$18,683","$20,464",,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Better Mortality and Higher Payment,,07/01/2017,12/01/2019
330045,NS/LIJ HS HUNTINGTON HOSPITAL,270 PARK AVENUE,HUNTINGTON,NY,11743,SUFFOLK,(631) 351-2000,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,1044,"$19,992","$19,268","$20,752",,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Better Mortality and Higher Payment,,07/01/2017,12/01/2019
330045,NS/LIJ HS HUNTINGTON HOSPITAL,270 PARK AVENUE,HUNTINGTON,NY,11743,SUFFOLK,(631) 351-2000,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Greater Than the National Average Payment,546,"$21,602","$20,865","$22,336",,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Higher Payment,,04/01/2017,10/02/2019
330107,PECONIC BAY MEDICAL CENTER,1 HEROS WAY,RIVERHEAD,NY,11901,SUFFOLK,(631) 548-6000,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,83,"$28,553","$25,391","$32,153",,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,,07/01/2017,12/01/2019
330107,PECONIC BAY MEDICAL CENTER,1 HEROS WAY,RIVERHEAD,NY,11901,SUFFOLK,(631) 548-6000,PAYM_30_HF,Payment for heart failure patients,Greater Than the National Average Payment,387,"$21,087","$19,869","$22,478",,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Higher Payment,,07/01/2017,12/01/2019
330107,PECONIC BAY MEDICAL CENTER,1 HEROS WAY,RIVERHEAD,NY,11901,SUFFOLK,(631) 548-6000,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,455,"$19,595","$18,479","$20,684",,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,,07/01/2017,12/01/2019
330107,PECONIC BAY MEDICAL CENTER,1 HEROS WAY,RIVERHEAD,NY,11901,SUFFOLK,(631) 548-6000,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,950,"$20,798","$20,291","$21,349",,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Better Complications and Average Payment,,04/01/2017,10/02/2019
330141,LONG ISLAND COMMUNITY HOSPITAL,101 HOSPITAL ROAD,PATCHOGUE,NY,11772,SUFFOLK,(631) 654-7100,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,178,"$26,099","$23,803","$28,655",,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,,07/01/2017,12/01/2019
330141,LONG ISLAND COMMUNITY HOSPITAL,101 HOSPITAL ROAD,PATCHOGUE,NY,11772,SUFFOLK,(631) 654-7100,PAYM_30_HF,Payment for heart failure patients,Greater Than the National Average Payment,467,"$20,936","$19,785","$22,088",,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Higher Payment,,07/01/2017,12/01/2019
330141,LONG ISLAND COMMUNITY HOSPITAL,101 HOSPITAL ROAD,PATCHOGUE,NY,11772,SUFFOLK,(631) 654-7100,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,917,"$21,778","$20,909","$22,669",,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Higher Payment,,07/01/2017,12/01/2019
330141,LONG ISLAND COMMUNITY HOSPITAL,101 HOSPITAL ROAD,PATCHOGUE,NY,11772,SUFFOLK,(631) 654-7100,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Greater Than the National Average Payment,63,"$26,483","$24,054","$29,142",,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Higher Payment,,04/01/2017,10/02/2019
330185,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,75 NORTH COUNTRY ROAD,PORT JEFFERSON,NY,11777,SUFFOLK,(631) 473-1320,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,107,"$26,312","$23,559","$29,423",,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,,07/01/2017,12/01/2019
330185,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,75 NORTH COUNTRY ROAD,PORT JEFFERSON,NY,11777,SUFFOLK,(631) 473-1320,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,477,"$18,782","$17,759","$19,928",,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,,07/01/2017,12/01/2019
330185,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,75 NORTH COUNTRY ROAD,PORT JEFFERSON,NY,11777,SUFFOLK,(631) 473-1320,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,806,"$18,412","$17,630","$19,208",,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Better Mortality and Average Payment,,07/01/2017,12/01/2019
330185,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,75 NORTH COUNTRY ROAD,PORT JEFFERSON,NY,11777,SUFFOLK,(631) 473-1320,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,279,"$20,169","$19,323","$21,057",,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,,04/01/2017,10/02/2019
330246,ST CHARLES HOSPITAL,200 BELLE TERRE ROAD,PORT JEFFERSON,NY,11777,SUFFOLK,(631) 474-6000,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,29,"$28,157","$24,254","$32,511",,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,,07/01/2017,12/01/2019
330246,ST CHARLES HOSPITAL,200 BELLE TERRE ROAD,PORT JEFFERSON,NY,11777,SUFFOLK,(631) 474-6000,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,144,"$18,811","$17,116","$20,620",,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,,07/01/2017,12/01/2019
330246,ST CHARLES HOSPITAL,200 BELLE TERRE ROAD,PORT JEFFERSON,NY,11777,SUFFOLK,(631) 474-6000,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,178,"$19,652","$17,846","$21,372",,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,,07/01/2017,12/01/2019
330246,ST CHARLES HOSPITAL,200 BELLE TERRE ROAD,PORT JEFFERSON,NY,11777,SUFFOLK,(631) 474-6000,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Greater Than the National Average Payment,522,"$21,703","$20,998","$22,458",,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Higher Payment,,04/01/2017,10/02/2019
330286,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,1000 MONTAUK HIGHWAY,WEST ISLIP,NY,11795,SUFFOLK,(631) 376-3000,PAYM_30_AMI,Payment for heart attack patients,Greater Than the National Average Payment,282,"$28,662","$26,454","$30,976",,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Higher Payment,,07/01/2017,12/01/2019
330286,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,1000 MONTAUK HIGHWAY,WEST ISLIP,NY,11795,SUFFOLK,(631) 376-3000,PAYM_30_HF,Payment for heart failure patients,Greater Than the National Average Payment,637,"$20,622","$19,599","$21,645",,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Better Mortality and Higher Payment,,07/01/2017,12/01/2019
330286,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,1000 MONTAUK HIGHWAY,WEST ISLIP,NY,11795,SUFFOLK,(631) 376-3000,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,911,"$19,866","$19,088","$20,664",,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Higher Payment,,07/01/2017,12/01/2019
330286,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,1000 MONTAUK HIGHWAY,WEST ISLIP,NY,11795,SUFFOLK,(631) 376-3000,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,177,"$21,136","$19,940","$22,406",,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,,04/01/2017,10/02/2019
330393,SUNY/STONY BROOK UNIVERSITY HOSPITAL,HEALTH SCIENCES CENTER SUNY,STONY BROOK,NY,11794,SUFFOLK,(631) 444-4000,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,509,"$26,420","$24,820","$28,131",,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Better Mortality and Average Payment,,07/01/2017,12/01/2019
330393,SUNY/STONY BROOK UNIVERSITY HOSPITAL,HEALTH SCIENCES CENTER SUNY,STONY BROOK,NY,11794,SUFFOLK,(631) 444-4000,PAYM_30_HF,Payment for heart failure patients,Greater Than the National Average Payment,1197,"$19,906","$19,187","$20,670",,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Better Mortality and Higher Payment,,07/01/2017,12/01/2019
330393,SUNY/STONY BROOK UNIVERSITY HOSPITAL,HEALTH SCIENCES CENTER SUNY,STONY BROOK,NY,11794,SUFFOLK,(631) 444-4000,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,1235,"$19,075","$18,413","$19,739",,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,,07/01/2017,12/01/2019
330393,SUNY/STONY BROOK UNIVERSITY HOSPITAL,HEALTH SCIENCES CENTER SUNY,STONY BROOK,NY,11794,SUFFOLK,(631) 444-4000,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Greater Than the National Average Payment,630,"$21,563","$20,926","$22,233",,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Higher Payment,,04/01/2017,10/02/2019
330401,ST CATHERINE OF SIENA HOSPITAL,50 ROUTE 25A,SMITHTOWN,NY,11787,SUFFOLK,(631) 862-3000,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,157,"$28,843","$26,122","$31,934",,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,,07/01/2017,12/01/2019
330401,ST CATHERINE OF SIENA HOSPITAL,50 ROUTE 25A,SMITHTOWN,NY,11787,SUFFOLK,(631) 862-3000,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,454,"$18,863","$17,767","$20,001",,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Better Mortality and Average Payment,,07/01/2017,12/01/2019
330401,ST CATHERINE OF SIENA HOSPITAL,50 ROUTE 25A,SMITHTOWN,NY,11787,SUFFOLK,(631) 862-3000,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,346,"$19,970","$18,718","$21,225",,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,,07/01/2017,12/01/2019
330401,ST CATHERINE OF SIENA HOSPITAL,50 ROUTE 25A,SMITHTOWN,NY,11787,SUFFOLK,(631) 862-3000,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Greater Than the National Average Payment,105,"$22,662","$21,121","$24,406",,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Higher Payment,,04/01/2017,10/02/2019
