facility_id,facility_name,address,city,state,zip_code,county_name,phone_number,measure_id,measure_name,score,footnote,start_date,end_date
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,OP-10,Abdomen CT Use of Contrast Material,3.8,,07/01/2019,12/31/2019
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,OP-13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,Not Available,1,07/01/2019,12/31/2019
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,OP-8,MRI Lumbar Spine for Low Back Pain,Not Available,7,07/01/2019,12/31/2019
330106,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,11030,NASSAU,(516) 562-0100,OP-10,Abdomen CT Use of Contrast Material,1,,07/01/2019,12/31/2019
330106,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,11030,NASSAU,(516) 562-0100,OP-13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,6.1,,07/01/2019,12/31/2019
330106,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,11030,NASSAU,(516) 562-0100,OP-8,MRI Lumbar Spine for Low Back Pain,38.5,,07/01/2019,12/31/2019
330181,NORTHWELL HOSPITAL GLEN COVE,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,(516) 674-7300,OP-10,Abdomen CT Use of Contrast Material,0.7,,07/01/2019,12/31/2019
330181,NORTHWELL HOSPITAL GLEN COVE,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,(516) 674-7300,OP-13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,Not Available,1,07/01/2019,12/31/2019
330181,NORTHWELL HOSPITAL GLEN COVE,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,(516) 674-7300,OP-8,MRI Lumbar Spine for Low Back Pain,Not Available,1,07/01/2019,12/31/2019
330182,ST FRANCIS HOSPITAL - THE HEART CENTER,100 PORT WASHINGTON BOULEVARD,ROSLYN,NY,11576,NASSAU,(516) 562-6000,OP-10,Abdomen CT Use of Contrast Material,2.4,,07/01/2019,12/31/2019
330182,ST FRANCIS HOSPITAL - THE HEART CENTER,100 PORT WASHINGTON BOULEVARD,ROSLYN,NY,11576,NASSAU,(516) 562-6000,OP-13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5,,07/01/2019,12/31/2019
330182,ST FRANCIS HOSPITAL - THE HEART CENTER,100 PORT WASHINGTON BOULEVARD,ROSLYN,NY,11576,NASSAU,(516) 562-6000,OP-8,MRI Lumbar Spine for Low Back Pain,Not Available,1,07/01/2019,12/31/2019
330195,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,NASSAU,(718) 470-7000,OP-10,Abdomen CT Use of Contrast Material,0.2,,07/01/2019,12/31/2019
330195,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,NASSAU,(718) 470-7000,OP-13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,6.9,,07/01/2019,12/31/2019
330195,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,NASSAU,(718) 470-7000,OP-8,MRI Lumbar Spine for Low Back Pain,Not Available,1,07/01/2019,12/31/2019
330198,MOUNT SINAI SOUTH NASSAU,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NASSAU,(516) 632-3000,OP-10,Abdomen CT Use of Contrast Material,0.3,,07/01/2019,12/31/2019
330198,MOUNT SINAI SOUTH NASSAU,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NASSAU,(516) 632-3000,OP-13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,11.6,,07/01/2019,12/31/2019
330198,MOUNT SINAI SOUTH NASSAU,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NASSAU,(516) 632-3000,OP-8,MRI Lumbar Spine for Low Back Pain,Not Available,1,07/01/2019,12/31/2019
330259,MERCY MEDICAL CENTER,1000 NORTH VILLAGE AVENUE,ROCKVILLE CENTRE,NY,11570,NASSAU,(516) 705-2525,OP-10,Abdomen CT Use of Contrast Material,0,,07/01/2019,12/31/2019
330259,MERCY MEDICAL CENTER,1000 NORTH VILLAGE AVENUE,ROCKVILLE CENTRE,NY,11570,NASSAU,(516) 705-2525,OP-13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,Not Available,1,07/01/2019,12/31/2019
330259,MERCY MEDICAL CENTER,1000 NORTH VILLAGE AVENUE,ROCKVILLE CENTRE,NY,11570,NASSAU,(516) 705-2525,OP-8,MRI Lumbar Spine for Low Back Pain,Not Available,1,07/01/2019,12/31/2019
330331,PLAINVIEW HOSPITAL,888 OLD COUNTRY ROAD,PLAINVIEW,NY,11803,NASSAU,(516) 719-3000,OP-10,Abdomen CT Use of Contrast Material,0,,07/01/2019,12/31/2019
330331,PLAINVIEW HOSPITAL,888 OLD COUNTRY ROAD,PLAINVIEW,NY,11803,NASSAU,(516) 719-3000,OP-13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,Not Available,7,07/01/2019,12/31/2019
330331,PLAINVIEW HOSPITAL,888 OLD COUNTRY ROAD,PLAINVIEW,NY,11803,NASSAU,(516) 719-3000,OP-8,MRI Lumbar Spine for Low Back Pain,Not Available,7,07/01/2019,12/31/2019
330332,CHSLI ST JOSEPH HOSPITAL,4295 HEMPSTEAD TURNPIKE,BETHPAGE,NY,11714,NASSAU,(516) 579-6000,OP-10,Abdomen CT Use of Contrast Material,0,,07/01/2019,12/31/2019
330332,CHSLI ST JOSEPH HOSPITAL,4295 HEMPSTEAD TURNPIKE,BETHPAGE,NY,11714,NASSAU,(516) 579-6000,OP-13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,Not Available,1,07/01/2019,12/31/2019
330332,CHSLI ST JOSEPH HOSPITAL,4295 HEMPSTEAD TURNPIKE,BETHPAGE,NY,11714,NASSAU,(516) 579-6000,OP-8,MRI Lumbar Spine for Low Back Pain,Not Available,1,07/01/2019,12/31/2019
330043,NS/LIJ HS SOUTHSIDE HOSPITAL,301 EAST MAIN STREET,BAY SHORE,NY,11706,SUFFOLK,(631) 968-3000,OP-10,Abdomen CT Use of Contrast Material,0,,07/01/2019,12/31/2019
330043,NS/LIJ HS SOUTHSIDE HOSPITAL,301 EAST MAIN STREET,BAY SHORE,NY,11706,SUFFOLK,(631) 968-3000,OP-13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,Not Available,1,07/01/2019,12/31/2019
330043,NS/LIJ HS SOUTHSIDE HOSPITAL,301 EAST MAIN STREET,BAY SHORE,NY,11706,SUFFOLK,(631) 968-3000,OP-8,MRI Lumbar Spine for Low Back Pain,Not Available,7,07/01/2019,12/31/2019
330045,NS/LIJ HS HUNTINGTON HOSPITAL,270 PARK AVENUE,HUNTINGTON,NY,11743,SUFFOLK,(631) 351-2000,OP-10,Abdomen CT Use of Contrast Material,0,,07/01/2019,12/31/2019
330045,NS/LIJ HS HUNTINGTON HOSPITAL,270 PARK AVENUE,HUNTINGTON,NY,11743,SUFFOLK,(631) 351-2000,OP-13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,Not Available,1,07/01/2019,12/31/2019
330045,NS/LIJ HS HUNTINGTON HOSPITAL,270 PARK AVENUE,HUNTINGTON,NY,11743,SUFFOLK,(631) 351-2000,OP-8,MRI Lumbar Spine for Low Back Pain,Not Available,1,07/01/2019,12/31/2019
330107,PECONIC BAY MEDICAL CENTER,1 HEROS WAY,RIVERHEAD,NY,11901,SUFFOLK,(631) 548-6000,OP-10,Abdomen CT Use of Contrast Material,0.3,,07/01/2019,12/31/2019
330107,PECONIC BAY MEDICAL CENTER,1 HEROS WAY,RIVERHEAD,NY,11901,SUFFOLK,(631) 548-6000,OP-13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,Not Available,7,07/01/2019,12/31/2019
330107,PECONIC BAY MEDICAL CENTER,1 HEROS WAY,RIVERHEAD,NY,11901,SUFFOLK,(631) 548-6000,OP-8,MRI Lumbar Spine for Low Back Pain,Not Available,1,07/01/2019,12/31/2019
330141,LONG ISLAND COMMUNITY HOSPITAL,101 HOSPITAL ROAD,PATCHOGUE,NY,11772,SUFFOLK,(631) 654-7100,OP-10,Abdomen CT Use of Contrast Material,0.9,,07/01/2019,12/31/2019
330141,LONG ISLAND COMMUNITY HOSPITAL,101 HOSPITAL ROAD,PATCHOGUE,NY,11772,SUFFOLK,(631) 654-7100,OP-13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,Not Available,1,07/01/2019,12/31/2019
330141,LONG ISLAND COMMUNITY HOSPITAL,101 HOSPITAL ROAD,PATCHOGUE,NY,11772,SUFFOLK,(631) 654-7100,OP-8,MRI Lumbar Spine for Low Back Pain,Not Available,1,07/01/2019,12/31/2019
330185,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,75 NORTH COUNTRY ROAD,PORT JEFFERSON,NY,11777,SUFFOLK,(631) 473-1320,OP-10,Abdomen CT Use of Contrast Material,0.4,,07/01/2019,12/31/2019
330185,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,75 NORTH COUNTRY ROAD,PORT JEFFERSON,NY,11777,SUFFOLK,(631) 473-1320,OP-13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,Not Available,1,07/01/2019,12/31/2019
330185,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,75 NORTH COUNTRY ROAD,PORT JEFFERSON,NY,11777,SUFFOLK,(631) 473-1320,OP-8,MRI Lumbar Spine for Low Back Pain,Not Available,1,07/01/2019,12/31/2019
330246,ST CHARLES HOSPITAL,200 BELLE TERRE ROAD,PORT JEFFERSON,NY,11777,SUFFOLK,(631) 474-6000,OP-10,Abdomen CT Use of Contrast Material,0,,07/01/2019,12/31/2019
330246,ST CHARLES HOSPITAL,200 BELLE TERRE ROAD,PORT JEFFERSON,NY,11777,SUFFOLK,(631) 474-6000,OP-13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.3,,07/01/2019,12/31/2019
330246,ST CHARLES HOSPITAL,200 BELLE TERRE ROAD,PORT JEFFERSON,NY,11777,SUFFOLK,(631) 474-6000,OP-8,MRI Lumbar Spine for Low Back Pain,Not Available,1,07/01/2019,12/31/2019
330286,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,1000 MONTAUK HIGHWAY,WEST ISLIP,NY,11795,SUFFOLK,(631) 376-3000,OP-10,Abdomen CT Use of Contrast Material,0.2,,07/01/2019,12/31/2019
330286,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,1000 MONTAUK HIGHWAY,WEST ISLIP,NY,11795,SUFFOLK,(631) 376-3000,OP-13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,Not Available,1,07/01/2019,12/31/2019
330286,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,1000 MONTAUK HIGHWAY,WEST ISLIP,NY,11795,SUFFOLK,(631) 376-3000,OP-8,MRI Lumbar Spine for Low Back Pain,Not Available,1,07/01/2019,12/31/2019
330393,SUNY/STONY BROOK UNIVERSITY HOSPITAL,HEALTH SCIENCES CENTER SUNY,STONY BROOK,NY,11794,SUFFOLK,(631) 444-4000,OP-10,Abdomen CT Use of Contrast Material,1.1,,07/01/2019,12/31/2019
330393,SUNY/STONY BROOK UNIVERSITY HOSPITAL,HEALTH SCIENCES CENTER SUNY,STONY BROOK,NY,11794,SUFFOLK,(631) 444-4000,OP-13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.6,,07/01/2019,12/31/2019
330393,SUNY/STONY BROOK UNIVERSITY HOSPITAL,HEALTH SCIENCES CENTER SUNY,STONY BROOK,NY,11794,SUFFOLK,(631) 444-4000,OP-8,MRI Lumbar Spine for Low Back Pain,39.7,,07/01/2019,12/31/2019
330401,ST CATHERINE OF SIENA HOSPITAL,50 ROUTE 25A,SMITHTOWN,NY,11787,SUFFOLK,(631) 862-3000,OP-10,Abdomen CT Use of Contrast Material,0,,07/01/2019,12/31/2019
330401,ST CATHERINE OF SIENA HOSPITAL,50 ROUTE 25A,SMITHTOWN,NY,11787,SUFFOLK,(631) 862-3000,OP-13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,Not Available,1,07/01/2019,12/31/2019
330401,ST CATHERINE OF SIENA HOSPITAL,50 ROUTE 25A,SMITHTOWN,NY,11787,SUFFOLK,(631) 862-3000,OP-8,MRI Lumbar Spine for Low Back Pain,Not Available,1,07/01/2019,12/31/2019
